name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 Ander Herrera,MOC,Athletic Bilbao,"6'0""",75,78,305,393,396,155,53,2014
 Aduriz,BU,Athletic Bilbao,"6'0""",69,63,374,298,330,133,57,2014
 Beñat,MC,Athletic Bilbao,"5'9""",66,68,331,398,357,197,54,2014
 Rubén Castro,BU,Real Betis Balompié,"5'9""",80,85,350,321,412,75,52,2014
 Mikel Gonzalez,DC,Real Sociedad,"6'3""",69,70,280,241,323,246,53,2014
 G. Castro,AG,Real Sociedad,"5'9""",79,86,337,374,412,99,59,2014
 João Pereira,DLD,Valence CF,"5'8""",85,87,312,351,417,229,48,2014
 Guaita,G,Valence CF,"6'3""",55,51,141,126,292,75,390,2014
 W. Caballero,G,Málaga CF,"6'1""",54,52,132,131,294,75,388,2014
 Jesús Gámez,DD,Málaga CF,"6'0""",78,69,292,313,344,243,50,2014
 Pedro León,MD,Getafe CF,"6'0""",76,75,351,410,367,117,59,2014
 T. Alderweireld,DC,Atlético Madrid,"6'2""",63,61,290,321,308,236,61,2014
 Mario Suárez,MDC,Atlético Madrid,"6'2""",65,60,320,368,317,233,56,2014
 Adrián,AT,Atlético Madrid,"6'0""",82,89,349,342,401,70,55,2014
 E. Insua,DG,Atlético Madrid,"5'10""",79,78,351,343,378,238,49,2014
 Iraola,DLD,Athletic Bilbao,"6'0""",80,78,315,373,378,238,51,2014
 Susaeta,AD,Athletic Bilbao,"5'10""",85,83,344,401,392,69,38,2014
 Iturraspe,MDC,Athletic Bilbao,"6'2""",64,67,328,346,319,205,38,2014
 Muniaín,AG,Athletic Bilbao,"5'7""",83,89,317,372,433,93,45,2014
 Verdú,MOC,Real Betis Balompié,"5'10""",62,67,342,401,346,130,48,2014
 H. Moreno,DC,Espanyol Barcelone,"6'0""",68,73,282,255,338,240,55,2014
 Granero,MC,Real Sociedad,"5'11""",66,67,345,400,351,182,53,2014
 Ricardo Costa,DC,Valence CF,"6'0""",55,52,237,198,301,234,52,2014
 J. Mathieu,DC,Valence CF,"6'4""",78,74,326,379,328,236,51,2014
 Javi Fuego,MDC,Valence CF,"5'11""",65,68,280,350,340,226,53,2014
 E. Vargas,AD,Valence CF,"5'9""",89,87,356,368,427,95,54,2014
 Beto,G,Séville FC,"5'11""",34,47,144,141,244,75,387,2014
 F. Fazio,DC,Séville FC,"6'5""",51,42,270,280,250,233,49,2014
 C. Bacca,BU,Séville FC,"5'11""",81,83,346,323,394,75,45,2014
 K. Gameiro,BU,Séville FC,"5'8""",78,82,362,356,410,89,33,2014
 M. Marin,AD,Séville FC,"5'7""",77,88,333,397,415,68,58,2014
 Weligton,DC,Málaga CF,"6'1""",65,54,234,242,288,245,44,2014
 Camacho,MDC,Málaga CF,"6'0""",67,69,291,322,351,221,55,2014
 Eliseu,MG,Málaga CF,"5'9""",90,87,314,369,429,220,67,2014
 K. Navas,G,Levante UD,"6'0""",53,61,129,139,319,75,384,2014
 J. Sosa,MD,Atlético Madrid,"5'11""",78,76,351,384,374,181,49,2014
 Montoya,DD,FC Barcelone,"5'9""",89,86,304,355,411,223,48,2014
 Adriano,MG,FC Barcelone,"5'8""",74,78,335,393,393,227,62,2014
 Carvajal,DLD,Real Madrid,"5'8""",85,79,273,344,405,232,65,2014
 Arbeloa,DD,Real Madrid,"6'0""",76,69,339,294,341,242,46,2014
 De Marcos,DD,Athletic Bilbao,"5'11""",89,88,338,311,416,216,46,2014
 Kiko Casilla,G,Espanyol Barcelone,"6'3""",49,32,129,123,253,75,383,2014
 Carlos Martinez,DD,Real Sociedad,"6'2""",77,66,306,326,316,235,44,2014
 Agirretxe,BU,Real Sociedad,"6'2""",66,60,362,333,315,117,50,2014
 Sergio Canales,MOC,Real Sociedad,"5'10""",69,75,331,395,358,72,63,2014
 Parejo,MC,Valence CF,"5'11""",67,64,330,400,347,213,48,2014
 Víctor Ruíz,DC,Valence CF,"6'0""",66,64,271,296,315,236,41,2014
 S. Keita,MC,Valence CF,"6'0""",68,66,335,326,340,227,37,2014
 Óscar,MOC,Real Valladolid CF,"5'11""",68,67,337,361,361,130,48,2014
 Iborra,MDC,Séville FC,"6'3""",59,55,329,354,284,219,49,2014
 Moyá,G,Getafe CF,"6'2""",40,46,131,134,263,75,388,2014
 Marc Bartra,DC,FC Barcelone,"6'0""",68,65,284,303,343,235,53,2014
 I. Afellay,MOC,FC Barcelone,"5'11""",84,82,340,387,393,108,46,2014
 Morata,BU,Real Madrid,"6'3""",79,74,345,294,345,73,48,2014
 Jesé Rodríguez,AD,Real Madrid,"5'10""",84,89,313,381,402,72,49,2014
 Iraizoz,G,Athletic Bilbao,"6'3""",53,42,128,124,275,75,380,2014
 Mikel San José,DC,Athletic Bilbao,"6'1""",66,52,298,263,301,229,45,2014
 Mikel Rico,MC,Athletic Bilbao,"6'0""",68,69,314,326,364,211,45,2014
 Ibai Gómez,AG,Athletic Bilbao,"5'10""",81,83,333,398,396,131,48,2014
 N. Igiebor,MOC,Real Betis Balompié,"6'0""",73,80,317,332,387,186,60,2014
 Nolito,AD,RC Celta,"5'9""",74,82,325,388,397,87,53,2014
 A. Fernández,MOC,RC Celta,"5'10""",75,69,326,356,363,146,48,2014
 Sergio García,MOC,Espanyol Barcelone,"5'9""",76,75,344,372,371,81,51,2014
 Pizzi,AD,Espanyol Barcelone,"5'8""",79,85,313,389,404,97,57,2014
 Markel Bergara,MDC,Real Sociedad,"5'11""",60,69,303,341,329,220,63,2014
 Rubén Pardo,MC,Real Sociedad,"6'0""",70,69,292,394,375,173,41,2014
 P. Piatti,AG,Valence CF,"5'4""",85,88,351,350,414,75,49,2014
 Andrés Fernández,G,CA Osasuna,"6'0""",55,55,131,148,311,75,374,2014
 Arribas,DC,CA Osasuna,"6'1""",61,54,251,232,299,237,54,2014
 Trashorras,MC,Rayo Vallecano,"5'10""",53,49,340,409,292,146,60,2014
 L. Bangoura,AD,Rayo Vallecano,"5'9""",90,92,306,309,432,70,34,2014
 Alberto Moreno,DLG,Séville FC,"5'7""",86,88,300,315,429,219,54,2014
 Reyes,AG,Séville FC,"5'10""",70,77,345,394,369,68,57,2014
 Javi Varas,G,Séville FC,"6'0""",65,51,121,118,314,75,376,2014
 M. Musacchio,DC,Villarreal CF,"6'0""",72,65,249,264,341,233,46,2014
 Antunes,DG,Málaga CF,"5'9""",84,85,314,381,400,224,45,2014
 Portillo,MD,Málaga CF,"5'7""",75,79,300,347,394,71,59,2014
 N. Amrabat,AG,Málaga CF,"5'10""",87,89,318,363,408,96,46,2014
 R. Santa Cruz,BU,Málaga CF,"6'3""",54,47,363,309,284,79,36,2014
 P. Pérez,MC,Málaga CF,"5'10""",78,75,321,369,385,194,57,2014
 P. Diop,MDC,Levante UD,"5'11""",68,64,328,350,351,221,49,2014
 A. Ivanschitz,MOC,Levante UD,"6'0""",69,68,347,394,350,84,35,2014
 Diego Castro,AD,Getafe CF,"5'9""",79,85,338,381,402,105,46,2014
 M. Iturra,MDC,Grenade CF,"5'9""",69,74,271,323,362,224,52,2014
 Isaac Cuenca,AD,FC Barcelone,"5'8""",77,78,298,367,376,76,54,2014
 C. Casemiro,MDC,Real Madrid,"6'0""",68,64,315,341,325,213,62,2014
 Balenziaga,DG,Athletic Bilbao,"5'9""",79,78,300,319,369,216,44,2014
 Gurpegi,DC,Athletic Bilbao,"5'11""",54,53,301,316,300,214,61,2014
 Paulão,DC,Real Betis Balompié,"6'2""",53,64,259,209,283,223,53,2014
 Leo Baptistao,AT,Real Betis Balompié,"5'11""",79,75,326,340,378,73,41,2014
 Amaya,DC,Real Betis Balompié,"6'4""",46,33,228,194,213,218,52,2014
 Hugo Mallo,DD,RC Celta,"5'8""",82,81,256,320,382,221,49,2014
 Rafinha,MOC,RC Celta,"5'10""",76,81,327,357,382,142,47,2014
 Charles,BU,RC Celta,"5'10""",69,72,330,320,375,101,48,2014
 D. Colotto,DC,Espanyol Barcelone,"6'0""",53,55,284,272,292,226,53,2014
 De la Bella,DLG,Real Sociedad,"6'0""",79,77,284,328,377,224,47,2014
 Paco Alcácer,BU,Valence CF,"6'0""",70,81,327,337,385,89,53,2014
 A. Rukavina,DD,Real Valladolid CF,"5'10""",79,77,283,297,374,219,37,2014
 Víctor Pérez,MC,Real Valladolid CF,"5'9""",68,69,330,372,353,177,44,2014
 Rubén Pérez,MDC,Elche CF,"5'10""",67,66,253,308,340,205,56,2014
 Jonathan Viera,AD,Rayo Vallecano,"5'7""",75,79,289,385,389,75,59,2014
 Jose Carlos,MD,Rayo Vallecano,"5'10""",72,73,349,396,362,101,42,2014
 N. Pareja,DC,Séville FC,"6'0""",66,64,293,331,327,222,65,2014
 P. Trochowski,MD,Séville FC,"5'7""",76,75,322,392,393,147,50,2014
 S. M'Bia,MDC,Séville FC,"6'2""",74,64,306,311,328,213,48,2014
 Sergio Asenjo,G,Villarreal CF,"6'0""",34,43,125,123,244,75,370,2014
 Cani,AD,Villarreal CF,"5'11""",75,74,322,374,365,125,46,2014
 Tomás Pina,MDC,Villarreal CF,"6'1""",68,67,291,338,351,200,48,2014
 C. Kameni,G,Málaga CF,"6'1""",34,44,136,126,258,75,366,2014
 Sergio Sánchez,DC,Málaga CF,"6'1""",66,67,320,266,336,230,51,2014
 L. Vyntra,DC,Levante UD,"6'0""",72,74,285,304,349,230,44,2014
 David Navarro,DC,Levante UD,"6'2""",55,52,257,247,278,226,43,2014
 Valera,DD,Getafe CF,"6'0""",76,75,294,328,361,212,50,2014
 Alexis,DC,Getafe CF,"6'0""",67,60,256,260,312,225,55,2014
 Lafita,MOC,Getafe CF,"6'2""",76,65,340,351,345,102,52,2014
 Piti,MOC,Grenade CF,"5'10""",70,74,330,370,376,91,48,2014
 Y. Brahimi,MG,Grenade CF,"5'9""",74,81,315,359,391,104,50,2014
 Aranzubia,G,Atlético Madrid,"6'1""",55,55,123,122,312,75,373,2014
 Sergi Roberto,MOC,FC Barcelone,"5'10""",67,69,301,354,350,134,61,2014
 A. Laporte,DC,Athletic Bilbao,"6'2""",55,52,217,271,264,235,45,2014
 Ekiza,DC,Athletic Bilbao,"5'11""",69,69,227,199,338,228,47,2014
 Salva Sevilla,MOC,Real Betis Balompié,"5'10""",65,56,325,380,321,147,55,2014
 Jorge Molina,BU,Real Betis Balompié,"6'2""",54,49,346,298,262,85,50,2014
 D. Perquis,DC,Real Betis Balompié,"6'0""",54,54,290,275,290,211,55,2014
 Dídac,DG,Real Betis Balompié,"6'0""",79,74,279,315,329,220,44,2014
 Borja Oubiña,MC,RC Celta,"5'10""",55,58,295,373,323,133,43,2014
 Victor Sánchez,MC,Espanyol Barcelone,"5'9""",73,67,304,358,368,186,42,2014
 Simão,MOC,Espanyol Barcelone,"5'7""",68,71,332,393,369,75,49,2014
 Zurutuza,MOC,Real Sociedad,"6'1""",65,67,313,353,318,136,51,2014
 Ansotegi,DC,Real Sociedad,"6'4""",41,30,221,227,204,228,57,2014
 H. Seferovic,BU,Real Sociedad,"6'3""",74,59,346,320,325,108,51,2014
 Elustondo,MC,Real Sociedad,"6'0""",66,60,292,374,337,181,57,2014
 Marc Valiente,DC,Real Valladolid CF,"6'0""",55,61,250,298,310,233,53,2014
 Omar Ramos,AG,Real Valladolid CF,"5'9""",82,79,291,339,394,91,54,2014
 Manu Herrera,G,Elche CF,"5'11""",49,41,121,131,270,75,365,2014
 Botía,DC,Elche CF,"6'2""",66,55,279,269,289,225,52,2014
 C. Sánchez,MDC,Elche CF,"6'0""",68,64,290,328,317,202,39,2014
 Corominas,MOC,Elche CF,"5'7""",77,78,307,330,399,92,57,2014
 Miguel Flaño,DC,CA Osasuna,"5'10""",69,68,250,237,330,231,37,2014
 Tito,DD,Rayo Vallecano,"5'9""",79,77,261,273,374,226,58,2014
 Baena,MDC,Rayo Vallecano,"5'11""",64,66,285,306,328,213,55,2014
 Bueno,AT,Rayo Vallecano,"5'10""",77,73,336,367,376,101,46,2014
 Gálvez,DC,Rayo Vallecano,"6'2""",53,48,238,257,246,231,41,2014
 Coke,DD,Séville FC,"6'0""",81,75,323,297,372,207,49,2014
 Daniel Carriço,DC,Séville FC,"6'0""",68,62,300,283,322,212,61,2014
 Fernando Navarro,DC,Séville FC,"5'10""",69,66,280,333,336,233,40,2014
 B. Jokič,DG,Villarreal CF,"5'9""",77,79,317,325,377,221,62,2014
 Óliver Torres,MD,Villarreal CF,"5'9""",74,79,274,385,390,101,37,2014
 I. Uche,BU,Villarreal CF,"5'9""",85,87,332,291,406,78,54,2014
 M. El Hamdaoui,BU,Málaga CF,"6'0""",66,69,333,357,340,75,34,2014
 F. Tissone,MDC,Málaga CF,"5'11""",67,69,318,342,339,200,49,2014
 Juanfran,DC,Levante UD,"6'0""",75,69,275,285,344,231,39,2014
 Rubén García,MOC,Levante UD,"5'7""",79,84,320,354,399,102,55,2014
 M. Sissoko,MDC,Levante UD,"6'3""",69,58,323,327,332,219,45,2014
 N. El Zhar,AD,Levante UD,"5'9""",82,85,319,344,399,86,49,2014
 L. López,DC,Getafe CF,"6'2""",64,61,285,238,300,227,48,2014
 Adrián Colunga,BU,Getafe CF,"5'7""",75,78,323,352,397,75,38,2014
 Suso,AG,UD Almería,"5'9""",74,78,310,395,381,73,51,2014
 Hélder Barbosa,AG,UD Almería,"5'8""",82,84,319,361,396,114,60,2014
 Y. El Arabi,BU,Grenade CF,"6'0""",70,78,347,369,377,107,45,2014
 O. Karnezis,G,Grenade CF,"6'3""",34,44,121,117,234,75,370,2014
 Riki,BU,Grenade CF,"6'2""",68,60,340,335,312,97,49,2014
 J. Dos Santos,MOC,FC Barcelone,"5'8""",67,69,326,369,349,153,54,2014
 Jordi Figueras,DC,Real Betis Balompié,"6'1""",49,42,237,249,257,218,50,2014
 Chica,DD,Real Betis Balompié,"5'9""",69,65,282,286,343,229,40,2014
 F. Orellana,AD,RC Celta,"5'7""",81,86,321,375,409,83,60,2014
 Alex López,MC,RC Celta,"5'9""",66,68,297,362,361,162,43,2014
 Capdevila,MDC,Espanyol Barcelone,"6'0""",65,55,338,376,310,204,53,2014
 Jaime,G,Real Valladolid CF,"6'2""",54,53,117,125,280,75,356,2014
 Álvaro Rubio,MDC,Real Valladolid CF,"5'10""",55,48,297,344,304,194,48,2014
 Manucho,BU,Real Valladolid CF,"6'2""",76,62,340,297,335,75,49,2014
 Javi Guerra,BU,Real Valladolid CF,"5'10""",79,74,336,296,361,114,54,2014
 Carles Gil,MD,Elche CF,"5'7""",70,71,300,358,354,110,53,2014
 Manu Del Moral,BU,Elche CF,"6'1""",81,78,329,329,359,75,56,2014
 Toño,G,Elche CF,"6'0""",55,55,125,120,284,75,365,2014
 C. Săpunaru,DC,Elche CF,"6'2""",69,69,314,298,318,221,52,2014
 Rivera,MC,Elche CF,"5'6""",65,67,303,357,368,145,49,2014
 Lolo,MDC,CA Osasuna,"6'0""",54,55,290,309,316,216,46,2014
 Cejudo,AD,CA Osasuna,"5'11""",79,78,313,347,380,102,46,2014
 Sisi,AD,CA Osasuna,"5'6""",85,89,297,351,413,85,56,2014
 R. Raţ,DG,Rayo Vallecano,"5'10""",77,69,325,330,362,219,53,2014
 Cobeño,G,Rayo Vallecano,"6'1""",48,48,123,120,277,75,374,2014
 Nacho,DG,Rayo Vallecano,"5'9""",89,90,274,312,424,216,53,2014
 Vitolo,MG,Séville FC,"6'0""",81,73,313,355,353,69,60,2014
 J. Aquino,AD,Villarreal CF,"5'6""",89,92,303,343,420,95,49,2014
 Duda,MOC,Málaga CF,"5'9""",65,61,341,404,330,174,51,2014
 Casado,DLG,Málaga CF,"5'8""",85,83,298,349,392,215,64,2014
 Víctor,BU,Levante UD,"5'11""",69,73,334,329,342,100,41,2014
 Pedro López,DLD,Levante UD,"5'9""",77,78,299,328,386,220,59,2014
 Sérgio Pinto,MOC,Levante UD,"5'9""",65,68,323,362,364,197,67,2014
 Xumetra,AD,Levante UD,"5'9""",90,86,319,333,414,104,59,2014
 P. Diawara,BU,Levante UD,"6'1""",83,79,329,284,360,93,49,2014
 Roberto Lago,DG,Getafe CF,"5'10""",82,79,263,319,368,214,53,2014
 M. Lacen,MC,Getafe CF,"5'9""",68,67,318,381,356,185,54,2014
 C. Marica,BU,Getafe CF,"6'1""",79,83,335,309,378,72,45,2014
 Michel,MC,Getafe CF,"6'0""",66,65,302,359,335,193,39,2014
 Sammir,MOC,Getafe CF,"5'10""",69,68,314,364,354,87,44,2014
 Gavilán,AG,Getafe CF,"5'10""",66,68,325,389,339,96,53,2014
 Esteban,G,UD Almería,"5'10""",49,45,126,124,277,75,363,2014
 M. Torsiglieri,DC,UD Almería,"6'2""",45,34,284,278,227,226,52,2014
 Roberto,G,Grenade CF,"6'0""",61,55,118,153,309,75,366,2014
 A. Nyom,DD,Grenade CF,"6'2""",84,68,254,289,318,224,47,2014
 Ilori,DC,Grenade CF,"6'3""",75,71,228,234,333,227,45,2014
 J. Murillo,DC,Grenade CF,"6'0""",69,63,235,211,336,224,55,2014
 D. Buonanotte,AG,Grenade CF,"5'3""",72,78,297,398,388,79,64,2014
 Pinto,G,FC Barcelone,"6'1""",34,43,129,127,247,75,368,2014
 Iñigo Pérez,MC,Athletic Bilbao,"5'10""",66,72,285,386,351,148,41,2014
 Kike Sola,BU,Athletic Bilbao,"6'0""",68,69,355,315,346,118,26,2014
 Juanfran,DD,Real Betis Balompié,"5'10""",82,78,308,314,378,193,54,2014
 Juan Carlos,AG,Real Betis Balompié,"5'10""",87,86,301,338,415,147,39,2014
 Nacho,DLG,Real Betis Balompié,"5'9""",76,74,290,318,382,212,48,2014
 Yoel,G,RC Celta,"6'1""",55,50,130,142,292,75,358,2014
 Fontàs,DC,RC Celta,"6'1""",54,48,286,311,269,220,61,2014
 Aurtenetxe,DG,RC Celta,"6'0""",77,76,303,313,345,218,55,2014
 M. Krohn-Dehli,MOC,RC Celta,"5'8""",70,75,317,385,376,108,55,2014
 Welliton,BU,RC Celta,"5'10""",83,91,330,306,410,74,41,2014
 Javi López,DD,Espanyol Barcelone,"5'11""",79,75,289,317,373,206,48,2014
 David López,MDC,Espanyol Barcelone,"6'1""",66,62,299,305,302,205,49,2014
 Sidnei,DC,Espanyol Barcelone,"6'1""",67,59,286,234,287,217,56,2014
 G. Torje,AD,Espanyol Barcelone,"5'6""",79,84,321,365,416,102,56,2014
 Lanzarote,AG,Espanyol Barcelone,"5'10""",69,68,330,378,341,85,35,2014
 Raúl Rodríguez,DC,Espanyol Barcelone,"6'0""",68,64,222,249,328,227,43,2014
 José Ángel,DG,Real Sociedad,"6'0""",81,77,286,326,363,214,59,2014
 F. Cartabia,AD,Valence CF,"5'7""",72,83,320,371,373,145,45,2014
 Oriol Romeu,MDC,Valence CF,"6'0""",53,63,220,289,297,211,58,2014
 Jeffrén,AD,Real Valladolid CF,"5'8""",77,79,328,359,383,119,57,2014
 Jesús Rueda,DC,Real Valladolid CF,"5'11""",54,54,293,292,286,221,42,2014
 F. Rossi,MC,Real Valladolid CF,"5'10""",69,76,303,359,373,152,80,2014
 Edu Albacar,DG,Elche CF,"5'9""",76,71,298,368,352,213,57,2014
 Pelegrín,DC,Elche CF,"6'0""",54,47,237,272,265,209,49,2014
 Fidel,MG,Elche CF,"5'10""",87,79,284,317,384,75,54,2014
 Marc Bertrán,DD,CA Osasuna,"5'11""",75,68,250,313,334,226,47,2014
 Damià,DG,CA Osasuna,"6'2""",79,77,285,303,346,201,80,2014
 De las Cuevas,MG,CA Osasuna,"5'9""",68,78,301,376,364,92,49,2014
 E. Armenteros,MG,CA Osasuna,"5'10""",68,65,328,380,335,77,35,2014
 Rubén,G,Rayo Vallecano,"6'2""",55,47,123,124,281,75,353,2014
 Zé Castro,DC,Rayo Vallecano,"6'0""",62,60,270,298,302,225,53,2014
 L. Galeano,DC,Rayo Vallecano,"6'0""",66,64,247,289,313,227,54,2014
 Iago Falqué,MG,Rayo Vallecano,"5'9""",75,77,306,383,368,96,54,2014
 S. Fernández,AD,Rayo Vallecano,"5'7""",76,79,317,332,397,70,41,2014
 Cicinho,DD,Séville FC,"5'5""",84,87,311,334,407,210,40,2014
 S. Cristóforo,MDC,Séville FC,"5'9""",69,71,263,307,360,219,59,2014
 D. Cheryshev,AG,Séville FC,"5'10""",77,78,325,335,369,150,47,2014
 Gabriel,DC,Villarreal CF,"6'1""",74,68,286,295,336,226,53,2014
 J. Perbet,BU,Villarreal CF,"6'0""",68,66,301,230,337,75,42,2014
 M. Angeleri,DC,Málaga CF,"6'1""",74,69,283,272,334,214,43,2014
 Flávio Ferreira,DC,Málaga CF,"5'11""",66,68,302,303,334,208,47,2014
 Simao Mate,DC,Levante UD,"5'10""",74,74,269,274,363,223,53,2014
 David Barral,BU,Levante UD,"6'0""",76,77,330,322,368,91,47,2014
 Rafa,DC,Getafe CF,"6'0""",59,56,290,259,285,219,55,2014
 Borja,MDC,Getafe CF,"6'1""",45,41,303,296,240,205,49,2014
 Soriano,MOC,UD Almería,"6'2""",53,48,332,303,286,154,41,2014
 Rodri,BU,UD Almería,"5'9""",78,77,322,285,386,75,42,2014
 Nélson,DLD,UD Almería,"5'8""",90,86,290,331,406,208,31,2014
 Mainz,DC,Grenade CF,"6'2""",34,36,227,213,217,212,48,2014
 O. Ighalo,BU,Grenade CF,"6'2""",82,77,304,311,344,114,52,2014
 J. Giménez,DC,Atlético Madrid,"6'1""",68,64,231,224,293,221,47,2014
 Aquino,AG,Atlético Madrid,"5'10""",69,78,312,372,354,78,37,2014
 Nacho Fernández,DC,Real Madrid,"5'10""",74,67,232,256,322,219,46,2014
 Etxeita,DC,Athletic Bilbao,"6'0""",65,55,214,210,307,215,33,2014
 Adán,G,Real Betis Balompié,"6'3""",55,55,133,121,281,75,355,2014
 Cedrick,MG,Real Betis Balompié,"5'6""",92,94,270,314,446,87,55,2014
 G. Sara,G,Real Betis Balompié,"6'1""",34,41,130,137,215,78,369,2014
 G. Cabral,DC,RC Celta,"6'0""",53,55,217,226,287,213,42,2014
 Íñigo López,DC,RC Celta,"6'1""",54,50,231,230,282,204,49,2014
 C. Stuani,BU,Espanyol Barcelone,"6'0""",74,69,362,318,351,94,58,2014
 Abraham,MC,Espanyol Barcelone,"5'10""",55,55,297,364,293,153,40,2014
 Álex Fernández,MD,Espanyol Barcelone,"5'11""",61,64,284,368,329,142,59,2014
 Ros,MC,Real Sociedad,"5'9""",70,74,267,330,364,192,51,2014
 Bernat,DLG,Valence CF,"5'8""",82,81,310,337,397,217,51,2014
 Barragán,DD,Valence CF,"6'2""",68,73,275,316,333,216,38,2014
 P. Senderos,DC,Valence CF,"6'2""",51,32,220,177,231,219,62,2014
 Vinícius Araújo,BU,Valence CF,"5'9""",71,77,314,282,368,68,52,2014
 Diego Mariño,G,Real Valladolid CF,"6'1""",51,41,120,124,264,75,345,2014
 D. Suárez,DD,Elche CF,"5'8""",85,82,320,337,399,207,51,2014
 R. Boakye,BU,Elche CF,"6'1""",86,82,327,243,354,68,49,2014
 F. Silva,MDC,CA Osasuna,"5'10""",64,60,279,317,323,180,46,2014
