Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years,xG coef,xGA coef,xPTS coef
12,Leicester,38,12,8,18,48,63,44,44.34,51.3,48.12,2016,1.091,1.235,0.917
13,Stoke,38,11,11,16,41,56,44,47.87,48.67,52.29,2016,0.872,1.167,0.846
14,Crystal Palace,38,12,5,21,50,63,41,45.4,50.03,48.45,2016,1.111,1.26,0.854
15,Swansea,38,12,5,21,45,70,41,39.5,65.13,36.49,2016,1.154,1.077,1.139
16,Burnley,38,11,7,20,39,55,40,35.59,55.27,38.36,2016,1.114,1.0,1.053
17,Watford,38,11,7,20,40,68,40,36.25,52.62,40.62,2016,1.111,1.308,1.0
18,Hull,38,9,7,22,37,80,34,33.84,71.77,30.73,2016,1.121,1.127,1.133
19,Middlesbrough,38,5,13,20,27,53,28,30.93,55.3,37.25,2016,0.9,0.964,0.757
20,Sunderland,38,6,6,26,29,69,24,34.22,65.66,32.24,2016,0.853,1.062,0.75
1,Manchester City,38,32,4,2,106,27,100,91.43,24.51,91.09,2017,1.165,1.125,1.099
2,Manchester United,38,25,6,7,68,28,81,59.04,43.54,62.33,2017,1.153,0.651,1.306
3,Tottenham,38,23,8,7,74,36,77,68.91,35.86,76.02,2017,1.088,1.029,1.013
4,Liverpool,38,21,12,5,84,38,75,77.49,35.75,79.38,2017,1.091,1.086,0.949
5,Chelsea,38,21,7,10,62,38,70,59.16,34.03,68.46,2017,1.051,1.118,1.029
6,Arsenal,38,19,6,13,74,51,63,72.27,48.75,65.9,2017,1.028,1.062,0.969
7,Burnley,38,14,12,12,36,39,54,32.77,52.16,41.0,2017,1.125,0.75,1.317
8,Everton,38,13,10,15,44,58,49,43.71,55.5,47.0,2017,1.023,1.055,1.043
9,Leicester,38,12,11,15,56,60,47,50.29,49.36,55.85,2017,1.12,1.224,0.855
10,Newcastle United,38,12,8,18,39,47,44,44.63,52.47,46.24,2017,0.886,0.904,0.957
11,Crystal Palace,38,11,11,16,45,55,44,56.75,53.54,58.03,2017,0.804,1.038,0.759
12,Bournemouth,38,11,11,16,45,61,44,39.99,64.93,37.64,2017,1.154,0.953,1.189
13,West Ham,38,10,12,16,48,68,42,36.8,58.37,39.26,2017,1.333,1.172,1.077
14,Watford,38,11,8,19,44,64,41,45.85,53.98,46.69,2017,0.978,1.208,0.891
15,Brighton,38,9,13,16,34,54,40,37.21,53.08,40.85,2017,0.919,1.019,1.0
16,Huddersfield,38,9,10,19,28,58,37,32.13,53.22,36.84,2017,0.875,1.094,1.028
17,Southampton,38,7,15,16,37,56,36,41.88,46.56,48.72,2017,0.902,1.217,0.75
18,Swansea,38,8,9,21,28,56,33,29.71,61.83,32.31,2017,0.966,0.918,1.031
19,Stoke,38,7,12,19,35,68,33,36.75,65.54,36.17,2017,0.972,1.046,0.917
20,West Bromwich Albion,38,6,13,19,31,56,31,35.18,48.99,42.96,2017,0.886,1.167,0.738
1,Manchester City,38,32,2,4,95,23,98,93.72,25.73,90.64,2018,1.022,0.92,1.089
2,Liverpool,38,30,7,1,89,22,97,79.46,29.15,83.45,2018,1.127,0.759,1.169
3,Chelsea,38,21,9,8,63,39,72,63.97,38.11,71.45,2018,1.0,1.026,1.014
4,Tottenham,38,23,2,13,67,39,71,61.75,49.15,61.44,2018,1.098,0.796,1.164
5,Arsenal,38,21,7,10,73,51,70,64.8,57.3,58.97,2018,1.141,0.895,1.207
6,Manchester United,38,19,9,10,65,54,66,68.62,52.3,61.86,2018,0.956,1.038,1.082
7,Wolverhampton Wanderers,38,16,9,13,47,46,57,53.06,42.69,59.91,2018,0.887,1.095,0.966
8,Everton,38,15,9,14,54,46,54,53.87,49.31,55.54,2018,1.019,0.939,0.982
9,Leicester,38,15,7,16,51,48,52,52.11,44.64,56.24,2018,0.981,1.091,0.929
10,West Ham,38,15,7,16,52,55,52,47.96,65.66,43.72,2018,1.106,0.846,1.209
11,Watford,38,14,8,16,52,59,50,51.73,63.29,46.0,2018,1.02,0.937,1.087
12,Crystal Palace,38,14,7,17,51,53,49,50.64,52.8,51.93,2018,1.02,1.019,0.961
13,Newcastle United,38,12,9,17,42,48,45,39.91,57.55,39.22,2018,1.077,0.842,1.154
14,Bournemouth,38,13,6,19,56,70,45,58.81,62.42,51.49,2018,0.966,1.129,0.882
15,Burnley,38,11,7,20,45,68,40,44.74,66.12,42.0,2018,1.023,1.03,0.952
16,Southampton,38,9,12,17,45,65,39,49.67,59.27,45.11,2018,0.918,1.102,0.867
17,Brighton,38,9,9,20,35,60,36,37.03,62.46,36.19,2018,0.946,0.968,1.0
18,Cardiff,38,10,4,24,34,69,34,41.77,66.5,37.45,2018,0.829,1.045,0.919
19,Fulham,38,7,5,26,34,81,26,42.62,73.59,33.6,2018,0.81,1.11,0.788
20,Huddersfield,38,3,7,28,22,76,16,29.0,67.19,29.61,2018,0.759,1.134,0.552
1,Liverpool,38,32,3,3,85,33,99,75.19,39.57,74.28,2019,1.133,0.846,1.338
2,Manchester City,38,26,3,9,102,35,81,102.21,37.0,86.76,2019,1.0,0.946,0.942
3,Manchester United,38,18,12,8,66,36,66,66.19,38.06,70.99,2019,1.0,0.947,0.943
4,Chelsea,38,20,6,12,69,54,66,76.23,41.09,73.49,2019,0.908,1.317,0.904
5,Leicester,38,18,8,12,67,41,62,61.02,47.89,61.16,2019,1.098,0.872,1.016
6,Tottenham,38,16,11,11,61,47,59,49.02,54.13,49.26,2019,1.245,0.87,1.204
7,Wolverhampton Wanderers,38,15,14,9,51,40,59,54.22,37.39,63.82,2019,0.944,1.081,0.937
8,Arsenal,38,14,14,10,56,48,56,50.82,57.25,50.15,2019,1.12,0.842,1.12
9,Sheffield United,38,14,12,12,39,39,54,45.81,52.04,49.34,2019,0.867,0.75,1.102
10,Burnley,38,15,9,14,43,50,54,49.35,53.84,49.54,2019,0.878,0.943,1.102
11,Southampton,38,15,7,16,51,60,52,56.5,56.59,56.87,2019,0.911,1.071,0.929
12,Everton,38,13,10,15,44,56,49,53.71,49.21,55.78,2019,0.83,1.143,0.891
13,Newcastle United,38,11,11,16,38,58,44,36.49,67.03,31.92,2019,1.056,0.866,1.419
14,Crystal Palace,38,11,10,17,31,50,43,34.45,57.39,38.26,2019,0.912,0.877,1.132
15,Brighton,38,9,14,15,39,54,41,47.42,60.42,48.02,2019,0.83,0.9,0.854
16,West Ham,38,10,9,19,49,62,39,49.07,68.32,38.75,2019,1.0,0.912,1.026
17,Aston Villa,38,9,8,21,41,67,35,45.09,71.6,37.23,2019,0.911,0.944,0.946
18,Bournemouth,38,9,7,22,40,65,34,44.67,63.29,39.2,2019,0.909,1.032,0.872
19,Watford,38,8,10,20,36,64,34,48.56,59.53,47.87,2019,0.75,1.085,0.723
20,Norwich,38,5,6,27,26,75,21,37.23,71.61,33.12,2019,0.703,1.056,0.636
1,Manchester City,38,27,5,6,83,32,86,77.72,30.61,83.38,2020,1.078,1.067,1.036
2,Manchester United,38,21,11,6,73,44,74,63.17,41.92,65.64,2020,1.159,1.073,1.138
3,Liverpool,38,20,9,9,68,42,69,72.21,47.3,68.8,2020,0.944,0.894,1.015
4,Chelsea,38,19,10,9,58,36,67,68.66,30.9,77.41,2020,0.853,1.2,0.87
5,Leicester,38,20,6,12,68,50,66,58.8,47.07,59.75,2020,1.172,1.064,1.119
6,West Ham,38,19,8,11,62,47,65,60.34,49.86,59.18,2020,1.033,0.959,1.102
7,Tottenham,38,18,8,12,68,45,62,56.68,52.55,53.98,2020,1.214,0.865,1.17
8,Arsenal,38,18,7,13,55,39,61,52.25,43.23,58.72,2020,1.058,0.907,1.052
9,Leeds,38,18,5,15,62,54,59,59.26,63.02,51.81,2020,1.051,0.857,1.157
10,Everton,38,17,8,13,47,48,59,49.24,50.16,50.72,2020,0.959,0.96,1.18
11,Aston Villa,38,16,7,15,55,46,55,56.72,53.25,54.06,2020,0.982,0.868,1.019
12,Newcastle United,38,12,9,17,46,62,45,43.96,60.02,42.65,2020,1.07,1.033,1.071
13,Wolverhampton Wanderers,38,12,9,17,36,52,45,38.62,52.19,44.26,2020,0.947,1.0,1.023
14,Crystal Palace,38,12,8,18,41,66,44,35.29,61.9,37.95,2020,1.171,1.082,1.189
15,Southampton,38,12,7,19,47,68,43,45.28,58.55,44.17,2020,1.044,1.172,0.977
16,Brighton,38,9,14,15,40,46,41,53.82,39.91,61.41,2020,0.755,1.179,0.672
17,Burnley,38,10,9,19,33,55,39,38.13,59.06,38.1,2020,0.868,0.932,1.026
18,Fulham,38,5,13,20,27,53,28,41.06,57.64,42.42,2020,0.659,0.93,0.667
19,West Bromwich Albion,38,5,11,22,35,76,26,34.97,74.04,29.59,2020,1.029,1.027,0.897
20,Sheffield United,38,7,2,29,20,63,23,33.16,66.11,29.92,2020,0.606,0.955,0.793
