name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 J. Hart,G,Manchester City,"6'5""",55,56,132,130,249,75,405,2014
 P. Zabaleta,DD,Manchester City,"5'9""",73,75,319,368,377,249,51,2014
 Fernandinho,MC,Manchester City,"5'9""",83,83,365,388,408,219,48,2014
 J. Hernández,BU,Manchester United,"5'9""",87,89,374,326,425,76,58,2014
 Nani,AD,Manchester United,"5'9""",81,87,356,401,419,67,40,2014
 J. Vertonghen,DC,Tottenham Hotspur,"6'2""",74,69,344,354,346,241,44,2014
 Soldado,BU,Tottenham Hotspur,"5'10""",76,75,386,354,376,109,50,2014
 A. Begović,G,Stoke City,"6'7""",58,52,126,122,282,75,404,2014
 T. Rosický,MOC,Arsenal,"5'10""",75,83,344,400,404,133,55,2014
 T. Walcott,AD,Arsenal,"5'9""",96,97,362,371,438,96,45,2014
 C. Benteke,BU,Aston Villa,"6'4""",81,82,368,308,353,80,44,2014
 B. Ivanović,DC,Chelsea,"6'1""",69,65,326,291,319,253,56,2014
 N. Matić,MDC,Chelsea,"6'4""",68,66,365,373,336,231,57,2014
 Ramires,DLD,Chelsea,"5'11""",90,86,373,359,416,236,48,2014
 T. Howard,G,Everton,"6'3""",48,50,132,129,278,75,400,2014
 K. Mirallas,AD,Everton,"5'10""",87,90,380,397,413,148,60,2014
 M. Škrtel,DC,Liverpool,"6'3""",66,54,268,229,315,245,44,2014
 D. Agger,DC,Liverpool,"6'3""",69,65,309,330,309,249,62,2014
 Coutinho,MOC,Liverpool,"5'7""",77,90,347,404,422,97,48,2014
 M. Sakho,DC,Liverpool,"6'2""",68,68,252,260,318,246,50,2014
 S. Kagawa,MOC,Manchester United,"5'8""",76,90,346,390,435,71,50,2014
 A. Valencia,MD,Manchester United,"5'11""",83,85,359,379,405,142,46,2014
 Sandro,MDC,Tottenham Hotspur,"6'2""",76,68,337,332,349,244,56,2014
 Paulinho,MC,Tottenham Hotspur,"5'11""",78,76,377,358,368,232,52,2014
 W. Bony,BU,Swansea City,"6'0""",71,77,354,319,373,95,41,2014
 W. Szczęsny,G,Arsenal,"6'5""",40,50,131,131,267,75,393,2014
 B. Sagna,DC,Arsenal,"5'9""",75,73,334,329,376,248,40,2014
 Mikel Arteta,MC,Arsenal,"5'9""",41,46,382,414,317,219,61,2014
 G. Cahill,DC,Chelsea,"6'4""",76,69,284,258,355,245,43,2014
 F. Lampard,MOC,Chelsea,"6'0""",56,48,405,408,312,182,59,2014
 A. Schürrle,AD,Chelsea,"6'0""",85,92,380,378,428,98,51,2014
 D. Ba,BU,Chelsea,"6'2""",78,75,376,341,362,122,42,2014
 P. Jagielka,DC,Everton,"6'0""",67,66,278,266,318,247,169,2014
 G. Barry,MDC,Everton,"6'0""",60,45,367,382,300,235,48,2014
 S. Pienaar,MOC,Everton,"5'7""",69,78,357,394,399,133,54,2014
 R. Lukaku,BU,Everton,"6'3""",86,82,362,322,339,72,54,2014
 Lucas Leiva,MDC,Liverpool,"5'10""",71,63,288,340,355,242,37,2014
 G. Clichy,DLG,Manchester City,"5'9""",88,85,315,325,413,249,42,2014
 J. Milner,MD,Manchester City,"5'9""",67,74,383,392,371,202,38,2014
 P. Evra,DG,Manchester United,"5'9""",79,77,326,343,381,242,57,2014
 M. Carrick,MC,Manchester United,"6'3""",65,53,361,378,319,217,60,2014
 M. Fellaini,MDC,Manchester United,"6'4""",73,64,382,331,334,221,49,2014
 M. Debuchy,DD,Newcastle United,"5'9""",75,77,353,356,379,237,49,2014
 F. Coloccini,DC,Newcastle United,"6'0""",68,70,315,322,341,239,58,2014
 L. Rémy,BU,Newcastle United,"6'0""",91,89,370,326,399,68,60,2014
 E. Adebayor,BU,Tottenham Hotspur,"6'3""",77,68,383,324,338,71,51,2014
 M. Dembélé,MOC,Tottenham Hotspur,"6'1""",79,85,355,368,402,200,66,2014
 E. Lamela,AD,Tottenham Hotspur,"6'0""",81,81,385,403,389,70,52,2014
 M. Vorm,G,Swansea City,"6'0""",62,60,138,143,324,75,396,2014
 Michu,BU,Swansea City,"6'1""",65,69,368,343,342,158,53,2014
 O. Giroud,BU,Arsenal,"6'4""",52,59,383,336,295,83,49,2014
 M. Flamini,MDC,Arsenal,"5'10""",73,74,345,341,377,230,33,2014
 T. Vermaelen,DC,Arsenal,"6'0""",69,72,330,325,343,239,47,2014
 Azpilicueta,DG,Chelsea,"5'10""",78,79,321,344,390,240,43,2014
 J. Mikel,DC,Chelsea,"6'2""",68,67,320,342,301,240,62,2014
 R. Sterling,AD,Liverpool,"5'7""",91,92,312,342,432,160,63,2014
 K. Touré,DC,Liverpool,"6'0""",78,67,280,309,307,245,51,2014
 José Enrique,DG,Liverpool,"6'0""",82,79,308,345,387,244,69,2014
 M. Demichelis,DC,Manchester City,"6'0""",40,34,291,239,241,232,38,2014
 Javi García,DC,Manchester City,"6'2""",65,61,350,343,321,239,53,2014
 J. Lescott,DC,Manchester City,"6'3""",53,53,302,267,284,245,42,2014
 R. Ferdinand,DC,Manchester United,"6'5""",62,53,291,275,294,244,40,2014
 P. Jones,DC,Manchester United,"6'0""",76,69,323,267,334,244,46,2014
 A. Young,AD,Manchester United,"5'10""",86,90,339,390,419,103,67,2014
 J. Evans,DC,Manchester United,"6'2""",73,68,283,221,329,240,62,2014
 T. Krul,G,Newcastle United,"6'4""",35,50,135,123,265,75,391,2014
 H. Ben Arfa,AG,Newcastle United,"5'10""",82,85,366,392,412,90,49,2014
 D. Lovren,DC,Southampton,"6'2""",55,51,274,246,258,243,53,2014
 A. Lallana,MOC,Southampton,"5'8""",76,78,367,381,394,120,54,2014
 M. Dawson,DC,Tottenham Hotspur,"6'2""",43,38,208,206,264,244,43,2014
 A. Lennon,AD,Tottenham Hotspur,"5'5""",91,94,317,334,448,73,50,2014
 Y. Kaboul,DC,Tottenham Hotspur,"6'3""",79,73,261,244,333,238,40,2014
 J. Ruddy,G,Norwich City,"6'4""",51,43,124,120,261,75,390,2014
 A. Williams,DC,Swansea City,"6'0""",68,66,253,253,327,234,45,2014
 K. Gibbs,DLG,Arsenal,"5'10""",84,83,315,330,394,241,44,2014
 A. Oxlade-Chamberlain,AD,Arsenal,"5'9""",89,90,308,354,425,126,44,2014
 E. Viviano,G,Arsenal,"6'5""",33,30,128,134,207,75,384,2014
 B. Guzan,G,Aston Villa,"6'4""",47,50,125,133,269,75,383,2014
 R. Vlaar,DC,Aston Villa,"5'11""",72,58,280,306,288,238,46,2014
 A. McGeady,AD,Everton,"5'11""",90,87,346,380,417,101,45,2014
 L. Traoré,BU,Everton,"6'8""",79,75,324,251,335,84,54,2014
 G. Johnson,DD,Liverpool,"6'0""",86,83,328,337,383,238,35,2014
 J. Henderson,MC,Liverpool,"6'0""",75,76,350,370,373,201,44,2014
 A. Kolarov,DG,Manchester City,"6'2""",68,70,346,385,336,234,56,2014
 M. Richards,DC,Manchester City,"5'11""",83,74,326,280,369,238,57,2014
 D. Welbeck,BU,Manchester United,"6'1""",84,86,382,344,407,91,48,2014
 C. Tioté,DC,Newcastle United,"5'11""",73,75,316,298,373,239,37,2014
 M. Schneiderlin,MDC,Southampton,"5'11""",73,73,311,326,355,229,50,2014
 G. Ramirez,MOC,Southampton,"6'0""",76,77,354,391,374,122,46,2014
 B. Friedel,G,Tottenham Hotspur,"6'3""",39,45,124,119,259,75,390,2014
 E. Capoue,MDC,Tottenham Hotspur,"6'2""",66,72,326,314,338,236,55,2014
 E. Giaccherini,MG,Sunderland,"5'6""",76,82,347,373,418,180,55,2014
 B. Foster,G,West Bromwich Albion,"6'4""",48,50,135,130,264,75,388,2014
 C. Yacob,MDC,West Bromwich Albion,"5'11""",62,64,271,323,331,228,36,2014
 K. Mitroglou,BU,Fulham,"6'2""",66,60,355,361,333,72,48,2014
 L. Holtby,MOC,Fulham,"5'9""",71,73,354,388,388,167,47,2014
 S. N'Zonzi,MDC,Stoke City,"6'3""",72,69,306,307,340,224,63,2014
 L. Podolski,BU,Arsenal,"6'0""",72,76,398,378,370,108,48,2014
 M. Schwarzer,G,Chelsea,"6'5""",46,50,123,122,257,75,377,2014
 M. Salah,MD,Chelsea,"5'9""",94,92,313,371,420,127,57,2014
 S. Distin,DC,Everton,"6'4""",73,68,272,253,298,232,39,2014
 J. McCarthy,MDC,Everton,"5'11""",70,75,339,361,354,225,54,2014
 R. Barkley,MOC,Everton,"6'2""",79,82,336,347,363,165,46,2014
 A. Koné,BU,Everton,"6'0""",87,85,340,316,383,88,37,2014
 D. Gibson,MC,Everton,"6'0""",66,52,346,360,324,226,50,2014
 J. Allen,MC,Liverpool,"5'6""",69,74,290,338,398,197,44,2014
 M. Nastasić,DC,Manchester City,"6'2""",69,69,250,222,328,240,61,2014
 Rafael,DLD,Manchester United,"5'8""",82,84,321,342,410,236,42,2014
 A. Lindegaard,G,Manchester United,"6'4""",62,47,125,136,297,75,385,2014
 K. Walker,DD,Tottenham Hotspur,"5'10""",93,90,329,360,404,235,52,2014
 N. Chadli,MG,Tottenham Hotspur,"6'2""",78,76,361,383,369,126,53,2014
 Gomes,G,Tottenham Hotspur,"6'3""",52,50,122,124,284,75,377,2014
 S. Downing,MD,West Ham United,"5'11""",76,77,362,386,377,114,58,2014
 A. Carroll,BU,West Ham United,"6'3""",76,69,366,285,329,128,51,2014
 A. Johnson,AG,Sunderland,"5'9""",76,78,338,388,393,103,48,2014
 Y. Mulumbu,MDC,West Bromwich Albion,"5'10""",67,68,285,311,353,227,64,2014
 S. Sessègnon,AD,West Bromwich Albion,"5'8""",82,86,354,370,420,144,51,2014
 B. Hangeland,DC,Fulham,"6'6""",51,44,283,256,237,236,50,2014
 M. Stekelenburg,G,Fulham,"6'6""",45,35,138,141,214,75,388,2014
 R. Huth,DC,Stoke City,"6'3""",53,48,273,239,247,234,54,2014
 T. Huddlestone,MDC,Hull City,"6'2""",55,51,371,375,269,212,43,2014
 Chico,DC,Swansea City,"6'2""",68,61,208,247,327,227,52,2014
 Pablo Hernández,AG,Swansea City,"5'9""",78,82,339,392,395,122,49,2014
 José Cañas,MDC,Swansea City,"5'10""",66,66,240,282,343,225,50,2014
 Nacho Monreal,DLG,Arsenal,"5'10""",77,79,309,341,374,224,24,2014
 A. Diaby,AD,Arsenal,"6'3""",77,76,359,355,356,213,49,2014
 M. van Ginkel,MD,Chelsea,"6'1""",80,75,361,358,374,178,53,2014
 S. Coleman,DLD,Everton,"5'10""",82,85,339,299,388,231,50,2014
 Deulofeu,AD,Everton,"5'10""",91,90,295,374,421,70,59,2014
 L. Osman,MOC,Everton,"5'8""",68,65,372,377,376,174,49,2014
 Iago Aspas,AG,Liverpool,"5'9""",79,85,352,378,415,75,57,2014
 J. Rodwell,MC,Manchester City,"6'2""",74,68,358,340,352,214,52,2014
 C. Smalling,DC,Manchester United,"6'4""",78,75,242,223,326,239,66,2014
 D. Santon,DG,Newcastle United,"6'2""",81,80,321,340,351,223,57,2014
 M. Yanga-M'Biwa,DC,Newcastle United,"6'0""",71,74,265,250,347,226,42,2014
 P. Cissé,BU,Newcastle United,"6'0""",75,76,371,340,381,75,50,2014
 A. Boruc,G,Southampton,"6'4""",46,41,124,134,238,75,368,2014
 R. Lambert,BU,Southampton,"6'2""",59,54,367,368,305,79,57,2014
 V. Wanyama,DC,Southampton,"6'2""",75,72,345,343,366,220,54,2014
 V. Chiricheş,DC,Tottenham Hotspur,"6'0""",82,81,318,283,392,235,50,2014
 Adrián,G,West Ham United,"6'2""",44,46,120,128,255,75,379,2014
 M. Jarvis,AD,West Ham United,"5'7""",86,88,337,359,417,102,34,2014
 S. Fletcher,BU,Sunderland,"6'1""",73,69,351,266,361,68,56,2014
 J. Olsson,DC,West Bromwich Albion,"6'4""",55,51,318,292,278,222,57,2014
 J. Heitinga,DC,Fulham,"5'11""",67,60,308,294,344,225,54,2014
 S. Parker,DC,Fulham,"5'9""",54,68,354,350,352,234,37,2014
 L. Fer,MC,Norwich City,"6'2""",76,74,365,314,368,217,56,2014
 R. Shawcross,DC,Stoke City,"6'3""",54,64,263,213,309,231,52,2014
 M. Arnautović,AD,Stoke City,"6'4""",84,81,374,372,378,106,59,2014
 P. Crouch,BU,Stoke City,"6'7""",53,52,370,315,280,75,53,2014
 Àngel Rangel,DD,Swansea City,"5'11""",65,65,329,338,332,224,44,2014
 J. De Guzmán,MOC,Swansea City,"5'9""",77,75,330,404,384,120,41,2014
 S. Caulker,DC,Cardiff City,"6'3""",76,69,246,265,339,232,53,2014
 G. Medel,DC,Cardiff City,"5'8""",76,77,322,303,404,237,42,2014
 L. Fabiański,G,Arsenal,"6'3""",47,50,125,127,263,75,375,2014
 N. Bendtner,BU,Arsenal,"6'4""",68,54,371,301,308,84,47,2014
 S. Given,G,Aston Villa,"6'1""",46,41,137,130,263,75,373,2014
 C. N'Zogbia,AG,Aston Villa,"5'7""",84,89,334,385,409,140,56,2014
 S. Naismith,MOC,Everton,"5'10""",78,77,326,320,377,133,51,2014
 V. Moses,AD,Liverpool,"5'10""",83,85,339,360,396,94,51,2014
 C. Pantilimon,G,Manchester City,"6'8""",42,48,137,134,265,75,373,2014
 D. Fletcher,DC,Manchester United,"6'0""",54,59,370,328,313,240,47,2014
 M. Williamson,DC,Newcastle United,"6'4""",51,64,259,238,283,229,42,2014
 V. Anita,MDC,Newcastle United,"5'6""",76,79,278,335,403,215,58,2014
 M. Sissoko,MDC,Newcastle United,"6'2""",77,82,348,360,367,212,46,2014
 L. de Jong,BU,Newcastle United,"6'2""",65,63,375,331,336,113,48,2014
 S. Taylor,DC,Newcastle United,"6'1""",56,54,276,248,291,230,50,2014
 José Fonte,DC,Southampton,"6'2""",63,56,255,238,314,228,45,2014
 J. Cork,MDC,Southampton,"6'1""",62,66,315,284,338,222,47,2014
 S. Davis,MD,Southampton,"5'8""",71,73,333,369,385,201,44,2014
 W. Reid,DC,West Ham United,"6'3""",77,68,246,229,312,233,54,2014
 M. Noble,MC,West Ham United,"5'11""",64,54,334,359,325,211,49,2014
 K. Nolan,BU,West Ham United,"6'0""",63,50,379,348,313,186,55,2014
 J. Cole,MOC,West Ham United,"5'9""",59,62,356,390,352,96,46,2014
 A. Nocerino,MC,West Ham United,"5'9""",74,78,355,349,388,225,47,2014
 M. Borriello,BU,West Ham United,"6'1""",68,64,364,322,329,65,42,2014
 P. Armero,MG,West Ham United,"5'9""",86,86,324,350,406,222,46,2014
 J. O'Shea,DC,Sunderland,"6'3""",52,51,257,257,283,230,55,2014
 W. Brown,DC,Sunderland,"6'1""",64,60,239,247,301,229,60,2014
 M. Amalfitano,MD,West Bromwich Albion,"5'9""",75,71,345,371,364,153,43,2014
 F. Amorebieta,DC,Fulham,"6'4""",44,41,276,228,232,225,50,2014
 S. Sidwell,MDC,Fulham,"6'0""",54,65,344,336,338,229,43,2014
 S. Riether,DD,Fulham,"5'9""",76,81,321,321,388,225,52,2014
 W. Kvist,MDC,Fulham,"6'0""",67,67,305,321,337,228,54,2014
 M. Diarra,DC,Fulham,"6'0""",62,51,294,319,301,233,54,2014
 S. Bassong,DC,Norwich City,"6'2""",76,69,244,238,332,227,39,2014
 A. Tettey,MDC,Norwich City,"5'11""",81,74,333,333,375,216,114,2014
 R. Snodgrass,AG,Norwich City,"6'0""",74,69,332,392,348,120,54,2014
 G. Hooper,BU,Norwich City,"5'9""",77,76,345,297,375,72,52,2014
 W. Hoolahan,MOC,Norwich City,"5'6""",69,73,331,356,378,140,58,2014
 M. Chamakh,MOC,Crystal Palace,"6'2""",68,67,371,357,340,132,56,2014
 S. Ireland,MOC,Stoke City,"5'8""",74,73,327,344,381,133,55,2014
 M. Etherington,AG,Stoke City,"5'10""",75,72,333,380,365,128,51,2014
 M. Figueroa,DG,Hull City,"6'0""",76,76,314,307,346,241,50,2014
 S. Long,BU,Hull City,"5'11""",85,87,349,282,395,84,50,2014
 N. Jelavić,BU,Hull City,"6'2""",73,72,328,323,334,75,40,2014
 L. Britton,MDC,Swansea City,"5'6""",68,70,291,351,384,211,50,2014
 W. Routledge,MG,Swansea City,"5'7""",78,84,316,317,403,110,54,2014
 D. Marshall,G,Cardiff City,"6'3""",50,48,120,130,245,75,366,2014
 K. Källström,MOC,Arsenal,"6'0""",69,61,376,406,335,186,53,2014
 M. Lowton,DD,Aston Villa,"5'11""",72,74,338,301,360,210,38,2014
 R. Bertrand,DG,Aston Villa,"5'10""",78,77,288,321,364,225,59,2014
 F. Delph,MC,Aston Villa,"5'9""",84,85,292,356,414,187,45,2014
 K. El Ahmadi,MC,Aston Villa,"6'1""",68,69,306,348,362,176,56,2014
 L. Kozák,BU,Aston Villa,"6'4""",63,62,327,257,293,72,45,2014
 T. Kalas,DC,Chelsea,"6'0""",77,78,244,224,370,227,34,2014
 A. Alcaraz,DC,Everton,"6'2""",54,51,254,234,291,226,51,2014
 A. Cissokho,DG,Liverpool,"5'11""",85,75,299,293,355,229,52,2014
 M. Kelly,DC,Liverpool,"6'3""",75,73,300,281,334,230,36,2014
 T. Cleverley,MOC,Manchester United,"5'9""",76,76,322,355,380,131,55,2014
 Y. Gouffran,BU,Newcastle United,"5'9""",77,81,374,338,388,138,51,2014
 N. Clyne,DLD,Southampton,"5'9""",84,85,303,285,395,224,51,2014
 L. Shaw,DLG,Southampton,"6'1""",85,85,268,333,386,227,44,2014
 J. Rodriguez,BU,Southampton,"6'1""",85,86,367,308,391,72,58,2014
 G. Sigurðsson,MOC,Tottenham Hotspur,"6'1""",68,68,362,385,342,162,53,2014
 A. Townsend,AG,Tottenham Hotspur,"5'11""",89,88,319,349,395,89,54,2014
 J. Collins,DC,West Ham United,"6'4""",55,51,247,251,253,219,58,2014
 L. Cattermole,DC,Sunderland,"5'10""",69,68,304,319,345,234,59,2014
 O. Ustari,G,Sunderland,"6'0""",62,55,122,124,312,75,374,2014
 J. Altidore,BU,Sunderland,"6'1""",71,69,318,314,306,84,58,2014
 C. Gardner,MC,Sunderland,"5'10""",68,69,345,361,355,212,55,2014
 S. Ki,MOC,Sunderland,"6'2""",69,65,324,386,329,184,44,2014
 K. Westwood,G,Sunderland,"6'2""",33,50,127,118,254,75,373,2014
 I. Scocco,MOC,Sunderland,"5'9""",81,77,370,381,388,71,53,2014
 C. Brunt,MG,West Bromwich Albion,"6'1""",65,68,347,387,334,145,48,2014
 D. Lugano,DC,West Bromwich Albion,"6'2""",31,27,232,205,197,217,45,2014
 K. Richardson,DLG,Fulham,"5'9""",77,79,341,369,385,231,40,2014
 A. Dejagah,AD,Fulham,"5'11""",78,77,344,357,380,91,46,2014
 J. Riise,DG,Fulham,"6'2""",64,55,345,361,316,223,53,2014
 D. Duff,AG,Fulham,"5'10""",64,71,350,350,351,154,54,2014
 D. Bent,BU,Fulham,"5'11""",80,75,345,295,368,70,39,2014
 M. Turner,DC,Norwich City,"6'4""",55,50,232,215,245,222,53,2014
 M. Olsson,DLG,Norwich City,"5'10""",86,82,340,320,382,221,43,2014
 J. Yobo,DC,Norwich City,"6'2""",70,71,261,273,338,229,38,2014
 J. Ward,DD,Crystal Palace,"6'2""",66,66,278,267,333,226,38,2014
 M. Jedinák,DC,Crystal Palace,"6'2""",64,49,333,316,310,221,60,2014
 J. Speroni,G,Crystal Palace,"6'1""",47,42,123,122,271,75,367,2014
 O. Assaidi,AD,Stoke City,"5'10""",85,88,300,363,407,91,41,2014
 A. McGregor,G,Hull City,"6'0""",42,33,135,136,261,75,369,2014
 C. Davies,DC,Hull City,"6'2""",76,68,227,206,340,226,46,2014
 J. Livermore,MDC,Hull City,"5'11""",67,68,322,338,342,209,46,2014
 Jordi Amat,DC,Swansea City,"6'1""",65,64,228,238,309,228,41,2014
 J. Shelvey,MOC,Swansea City,"6'0""",68,66,319,362,334,169,59,2014
 N. Dyer,AD,Swansea City,"5'5""",91,93,294,320,431,123,56,2014
 A. Weimann,BU,Aston Villa,"5'10""",80,77,312,310,365,97,49,2014
 G. Agbonlahor,BU,Aston Villa,"5'11""",92,88,365,322,380,103,40,2014
 C. Clark,DC,Aston Villa,"6'2""",65,62,311,286,310,217,54,2014
 J. Okore,DC,Aston Villa,"6'0""",78,73,235,206,343,211,65,2014
 T. Hibbert,DC,Everton,"5'8""",54,54,240,185,308,236,64,2014
 A. Januzaj,AG,Manchester United,"5'11""",74,86,292,363,394,67,50,2014
 A. Büttner,DG,Manchester United,"5'9""",86,79,321,362,388,215,52,2014
 R. Taylor,DD,Newcastle United,"5'10""",59,67,320,387,342,220,38,2014
 S. Marveaux,MG,Newcastle United,"5'8""",74,77,351,382,387,163,44,2014
 J. Ward-Prowse,MD,Southampton,"5'8""",73,76,313,386,372,179,59,2014
 D. Rose,DLG,Tottenham Hotspur,"5'8""",84,80,316,321,388,225,50,2014
 J. Tomkins,DC,West Ham United,"6'3""",64,64,233,225,296,227,43,2014
 J. Jääskeläinen,G,West Ham United,"6'3""",52,50,124,121,228,75,361,2014
 M. Diamé,DC,West Ham United,"6'1""",79,79,342,333,379,220,53,2014
 S. Vergini,DC,Sunderland,"6'3""",75,75,251,269,335,227,35,2014
 L. Bridcutt,MDC,Sunderland,"5'7""",70,72,291,313,373,217,57,2014
 V. Roberge,DC,Sunderland,"6'2""",70,65,245,280,311,223,46,2014
 G. McAuley,DC,West Bromwich Albion,"6'3""",55,52,251,212,286,218,47,2014
 G. Dorrans,MOC,West Bromwich Albion,"5'9""",69,69,361,378,357,172,36,2014
 J. Morrison,AD,West Bromwich Albion,"5'10""",68,73,365,350,370,176,49,2014
 M. Vydra,BU,West Bromwich Albion,"5'11""",83,81,328,317,379,85,56,2014
 T. Bifouma,BU,West Bromwich Albion,"5'11""",90,90,304,270,420,72,52,2014
 Z. Gera,AD,West Bromwich Albion,"6'0""",63,61,377,380,327,112,49,2014
 D. Stockdale,G,Fulham,"6'2""",54,50,123,117,236,75,370,2014
 H. Rodallega,BU,Fulham,"5'11""",78,75,361,352,365,90,34,2014
 P. Kasami,MOC,Fulham,"6'2""",71,68,329,337,325,159,38,2014
 R. Martin,DLD,Norwich City,"6'0""",71,74,331,300,356,227,53,2014
 B. Johnson,MC,Norwich City,"5'10""",68,69,344,334,351,194,45,2014
 J. Howson,MC,Norwich City,"5'11""",68,68,301,351,349,174,55,2014
 N. Redmond,AD,Norwich City,"5'8""",84,89,274,334,404,75,53,2014
 J. Elmander,BU,Norwich City,"6'2""",73,66,357,329,330,90,52,2014
 J. Gutiérrez,MG,Norwich City,"6'0""",65,71,332,357,346,196,46,2014
 A. Pilkington,AD,Norwich City,"5'11""",78,74,354,365,356,71,63,2014
 Garrido,DG,Norwich City,"5'10""",67,73,317,355,348,218,47,2014
 G. Whelan,MDC,Stoke City,"5'11""",54,54,332,359,316,207,61,2014
 C. Adam,MOC,Stoke City,"6'1""",54,55,374,379,307,173,31,2014
 A. Wilkinson,DC,Stoke City,"5'11""",69,67,245,262,339,238,59,2014
 J. Guidetti,BU,Stoke City,"6'1""",74,74,320,326,355,74,51,2014
 G. Tremmel,G,Swansea City,"6'3""",49,45,122,119,243,75,354,2014
 R. Lamah,MG,Swansea City,"5'11""",92,86,297,373,405,150,56,2014
 Juan Cala,DC,Cardiff City,"6'2""",69,68,300,308,344,213,57,2014
 P. Whittingham,MG,Cardiff City,"5'10""",64,61,357,381,354,167,45,2014
 K. Jones,BU,Cardiff City,"6'2""",74,71,337,282,338,107,55,2014
 A. Westwood,MDC,Aston Villa,"5'9""",66,69,289,341,360,178,46,2014
 G. Holt,BU,Aston Villa,"6'0""",54,53,366,270,319,113,51,2014
 Luis Alberto,MOC,Liverpool,"6'0""",68,71,317,349,335,72,38,2014
 D. Gosling,MC,Newcastle United,"6'0""",67,67,336,325,348,205,51,2014
 K. Naughton,DD,Tottenham Hotspur,"5'9""",78,76,306,267,364,217,46,2014
 C. Cole,BU,West Ham United,"6'3""",67,66,336,277,301,72,51,2014
 A. Diarra,DC,West Ham United,"6'3""",54,55,317,281,289,222,53,2014
 V. Mannone,G,Sunderland,"6'2""",60,53,138,130,275,75,354,2014
 P. Bardsley,DD,Sunderland,"5'11""",68,68,282,279,333,219,40,2014
 S. Larsson,MD,Sunderland,"5'10""",66,51,367,392,338,175,49,2014
 F. Borini,BU,Sunderland,"5'11""",81,79,363,328,376,73,38,2014
 C. Wickham,BU,Sunderland,"6'2""",74,75,321,322,346,72,47,2014
 Carlos Cuéllar,DC,Sunderland,"6'3""",54,45,211,203,256,226,54,2014
 B. Myhill,G,West Bromwich Albion,"6'3""",46,41,138,140,251,75,358,2014
 V. Anichebe,BU,West Bromwich Albion,"6'3""",78,67,348,259,319,124,54,2014
 S. Sinclair,AD,West Bromwich Albion,"5'10""",88,89,315,348,407,81,57,2014
 A. Kačaniklić,AG,Fulham,"5'11""",79,83,339,327,389,78,53,2014
 R. van Wolfswinkel,BU,Norwich City,"6'1""",68,71,347,298,350,86,49,2014
