Rank,Team,Years,PTS,dif_PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
18,Dijon,2018,34,-3.469999999999999,0.237,31,60,36.13,57.61,65,23.6,14.375
16,Dijon,2019,41,-1.3290000000000006,0.263,36,50,37.159,53.336,50,17.3,8.062
20,Dijon,2020,21,-3.879999999999999,0.105,25,73,31.85,76.12,65,22.0,10.875
19,Nancy,2016,35,-4.450000000000003,0.237,29,52,32.58,54.45,33,6.3,10.062
13,Amiens,2017,45,6.060000000000002,0.316,37,42,31.47,51.7,69,14.6,9.25
15,Amiens,2018,38,-4.340000000000003,0.237,31,52,34.63,46.76,70,19.9,15.438
19,Amiens,2019,31,-13.569000000000004,0.132,42,67,34.77,52.155,62,25.6,9.375
15,Strasbourg,2017,38,-5.759999999999998,0.237,44,67,43.27,58.33,45,14.2,8.125
11,Strasbourg,2018,49,2.520000000000003,0.289,58,48,40.59,48.51,98,20.8,23.75
11,Strasbourg,2019,53,-0.1159999999999996,0.395,45,45,48.64,47.092,91,16.0,24.25
15,Strasbourg,2020,42,-10.85,0.289,49,58,52.78,50.22,109,26.4,31.125
9,Nimes,2018,53,3.1000000000000014,0.395,57,58,48.5,55.47,88,22.8,18.0
18,Nimes,2019,37,-7.365000000000002,0.263,39,59,40.972,54.924,49,8.5,10.188
19,Nimes,2020,35,-4.700000000000003,0.237,40,71,41.39,64.17,60,11.0,12.125
14,Brest,2019,46,4.417000000000002,0.289,46,50,40.782,59.864,47,10.7,8.188
17,Brest,2020,41,-2.950000000000003,0.289,50,66,45.77,58.02,103,24.2,19.75
