name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 A. Mounier,MG,Montpellier HSC,"5'9""",82,81,356,358,397,95,53,2014
 M. Niang,AD,Montpellier HSC,"6'0""",85,83,338,353,386,110,51,2014
 O. Vizcarrondo,DC,FC Nantes,"6'3""",41,27,271,203,186,223,51,2014
 F. Djordjevic,BU,FC Nantes,"6'1""",65,58,350,298,336,121,48,2014
 N. Pejčinović,DC,OGC Nice,"6'1""",49,55,283,242,300,228,50,2014
 E. Bauthéac,AG,OGC Nice,"5'6""",82,81,331,361,406,109,53,2014
 D. Cvitanich,BU,OGC Nice,"5'9""",72,73,358,349,367,87,60,2014
 G. van der Wiel,DLD,Paris Saint-Germain,"5'11""",85,84,336,296,390,224,41,2014
 C. Jallet,DD,Paris Saint-Germain,"5'10""",74,75,332,359,369,229,37,2014
 L. Digne,DG,Paris Saint-Germain,"5'10""",80,79,286,313,371,223,41,2014
 J. Kana-Biyik,DC,Stade Rennais FC,"6'0""",76,64,226,206,324,225,59,2014
 Y. Jouffre,MD,FC Lorient,"5'9""",75,73,342,368,372,140,50,2014
 Lucas Mendes,DC,Olympique de Marseille,"6'0""",61,56,297,264,311,224,58,2014
 A. Romao,MDC,Olympique de Marseille,"5'11""",69,74,309,287,352,211,44,2014
 A. Mandi,DD,Stade de Reims,"6'0""",75,74,298,316,362,229,59,2014
 E. Didot,MC,Toulouse Football Club,"5'9""",59,63,340,364,344,211,55,2014
 C. Chantôme,MDC,Toulouse Football Club,"5'11""",68,68,350,346,354,216,53,2014
 F. Clerc,DD,AS Saint-Étienne,"6'2""",72,69,295,317,340,229,46,2014
 M. Sall,DC,AS Saint-Étienne,"6'4""",64,59,294,282,275,226,59,2014
 M. Erdinç,BU,AS Saint-Étienne,"5'11""",75,77,364,355,363,116,48,2014
 R. Cohade,MC,AS Saint-Étienne,"6'0""",67,68,342,375,349,196,57,2014
 F. Tabanou,MG,AS Saint-Étienne,"5'10""",75,80,338,364,369,169,54,2014
 Mariano,MD,FC Girondins de Bordeaux,"5'10""",86,83,326,345,391,216,51,2014
 L. Sané,DC,FC Girondins de Bordeaux,"6'4""",69,67,246,278,318,217,38,2014
 N. Maurice-Belay,MG,FC Girondins de Bordeaux,"6'0""",79,82,335,335,373,119,54,2014
 Jussiê,BU,FC Girondins de Bordeaux,"5'11""",75,77,353,362,372,73,33,2014
 H. Saivet,AD,FC Girondins de Bordeaux,"5'9""",84,83,354,351,403,119,52,2014
 F. Béria,DD,LOSC,"5'10""",74,72,304,322,363,219,42,2014
 P. Souaré,DG,LOSC,"5'10""",76,78,302,365,370,218,51,2014
 S. Elana,G,LOSC,"6'2""",38,36,136,126,228,75,365,2014
 A. Mvuemba,MC,Olympique Lyonnais,"5'8""",72,75,341,374,370,209,34,2014
 G. Danic,MG,Olympique Lyonnais,"5'9""",75,75,342,367,377,82,46,2014
 Miguel Lopes,DLD,Olympique Lyonnais,"6'0""",82,85,294,335,379,217,55,2014
 V. Germain,AD,AS Monaco,"5'11""",76,76,368,355,385,66,50,2014
 L. Ocampos,AD,AS Monaco,"6'0""",78,82,363,362,371,136,48,2014
 E. Echiéjilé,DG,AS Monaco,"6'2""",78,75,305,302,365,213,63,2014
 A. Raggi,DC,AS Monaco,"6'2""",66,62,308,278,317,230,51,2014
 M. Obbadi,MC,AS Monaco,"5'8""",62,63,354,352,350,194,45,2014
 L. Pionnier,G,Montpellier HSC,"6'0""",44,44,123,127,228,75,371,2014
 S. Camara,AD,Montpellier HSC,"5'9""",74,76,362,315,388,115,52,2014
 R. Riou,G,FC Nantes,"6'2""",51,43,135,130,254,75,373,2014
 M. Bodmer,MDC,OGC Nice,"6'3""",59,50,335,344,278,214,58,2014
 N. Douchez,G,Paris Saint-Germain,"6'1""",44,39,132,134,228,75,369,2014
 S. Armand,DC,Stade Rennais FC,"6'0""",54,54,318,343,308,227,39,2014
 C. M'Bengué,DG,Stade Rennais FC,"6'0""",78,81,289,298,372,225,54,2014
 J. Makoun,MC,Stade Rennais FC,"5'8""",66,64,323,319,358,196,49,2014
 J. Féret,MOC,Stade Rennais FC,"6'2""",66,66,344,360,346,136,56,2014
 J. Pitroipa,AD,Stade Rennais FC,"5'9""",91,87,309,333,417,68,49,2014
 B. Cheyrou,MDC,Olympique de Marseille,"6'0""",60,51,343,369,309,204,57,2014
 R. Fanni,DD,Olympique de Marseille,"6'1""",86,76,290,326,367,223,62,2014
 S. Corchia,DLD,FC Sochaux-Montbéliard,"5'9""",77,78,319,370,385,222,41,2014
 J. Zebina,DC,Toulouse Football Club,"6'2""",36,44,277,278,263,227,54,2014
 A. Aguilar,MDC,Toulouse Football Club,"6'1""",57,55,316,332,298,197,50,2014
 S. Aurier,MD,Toulouse Football Club,"5'9""",83,84,333,308,393,228,52,2014
 M. Braithwaite,AD,Toulouse Football Club,"5'11""",90,91,339,318,415,88,48,2014
 A. Ahamada,G,Toulouse Football Club,"6'2""",34,43,158,133,208,75,367,2014
 F. Lemoine,MDC,AS Saint-Étienne,"5'9""",61,68,325,321,353,220,50,2014
 M. Gradel,AG,AS Saint-Étienne,"5'9""",91,91,333,360,414,105,48,2014
 B. Corgnet,MOC,AS Saint-Étienne,"5'11""",69,73,347,352,357,123,53,2014
 K. Zouma,DC,AS Saint-Étienne,"6'3""",72,68,282,285,319,220,54,2014
 J. Guilavogui,MDC,AS Saint-Étienne,"6'2""",73,66,315,325,330,220,56,2014
 M. Dossevi,AD,Valenciennes FC,"5'8""",81,80,340,356,386,88,55,2014
 A. Waris,BU,Valenciennes FC,"5'8""",92,93,324,298,442,101,10,2014
 N. Penneteau,G,Valenciennes FC,"6'1""",49,42,132,125,225,75,376,2014
 C. Barbosa,MOC,Evian Thonon Gaillard Football Club,"5'10""",69,63,345,398,350,190,53,2014
 M. Ruben,BU,Evian Thonon Gaillard Football Club,"5'10""",73,71,350,334,363,78,42,2014
 Túlio de Melo,BU,Evian Thonon Gaillard Football Club,"6'4""",52,49,370,295,285,92,44,2014
 S. Squillaci,DC,Sporting Club de Bastia,"6'1""",38,48,234,231,251,228,44,2014
 Romaric,MC,Sporting Club de Bastia,"6'2""",53,54,354,390,256,199,46,2014
 L. Orbán,DG,FC Girondins de Bordeaux,"6'0""",73,71,295,308,350,217,60,2014
 B. Koné,DC,Olympique Lyonnais,"6'2""",73,69,270,229,336,220,47,2014
 S. Malbranque,MC,Olympique Lyonnais,"5'7""",52,48,330,379,330,153,43,2014
 G. Fofana,MC,Olympique Lyonnais,"6'0""",70,66,310,290,347,210,56,2014
 Fabinho,DD,AS Monaco,"6'2""",80,77,275,315,337,216,42,2014
 L. Kurzawa,DG,AS Monaco,"6'0""",77,82,317,309,374,222,50,2014
 N. Dirar,AD,AS Monaco,"6'0""",87,82,317,357,380,83,45,2014
 Y. Ferreira Carrasco,AD,AS Monaco,"5'11""",76,83,327,367,395,75,44,2014
 E. Rivière,BU,AS Monaco,"6'0""",84,85,342,262,383,98,56,2014
 A. Wolf,DC,AS Monaco,"6'0""",53,34,247,206,252,223,50,2014
 D. Congré,DC,Montpellier HSC,"6'1""",61,51,246,230,301,222,43,2014
 S. Tiéné,DG,Montpellier HSC,"5'9""",67,74,325,345,358,215,61,2014
 J. Marveaux,MDC,Montpellier HSC,"5'10""",50,58,276,270,318,207,40,2014
 L. Deaux,MDC,FC Nantes,"6'2""",68,66,271,298,328,205,43,2014
 S. Gakpé,AD,FC Nantes,"5'9""",88,92,350,325,413,75,55,2014
 V. Bessat,MG,FC Nantes,"5'10""",78,79,304,315,380,145,48,2014
 V. Eysseric,MOC,OGC Nice,"5'11""",75,74,324,366,374,71,46,2014
 A. Rabiot,MC,Paris Saint-Germain,"6'2""",65,68,294,343,331,189,47,2014
 Z. Camara,DC,Paris Saint-Germain,"6'0""",65,53,243,256,309,225,55,2014
 R. Danzé,DD,Stade Rennais FC,"6'0""",76,68,316,320,355,219,42,2014
 A. Konradsen,MDC,Stade Rennais FC,"6'0""",76,67,329,329,366,212,49,2014
 P. Ntep,AG,Stade Rennais FC,"5'11""",91,84,297,328,388,70,42,2014
 Nélson Oliveira,BU,Stade Rennais FC,"6'1""",79,77,338,319,356,99,34,2014
 F. Kadir,MOC,Stade Rennais FC,"5'11""",76,76,326,343,361,87,55,2014
 K. Monnet-Paquet,AD,FC Lorient,"6'0""",84,82,341,319,380,72,42,2014
 S. Khalifa,BU,Olympique de Marseille,"6'0""",79,74,338,315,360,109,49,2014
 J. Ayew,BU,FC Sochaux-Montbéliard,"6'0""",78,77,365,353,382,67,40,2014
 S. Pouplin,G,FC Sochaux-Montbéliard,"6'2""",52,55,124,130,259,75,362,2014
 T. Doubaï,MDC,FC Sochaux-Montbéliard,"5'10""",68,72,316,318,349,212,54,2014
 F. Ayité,AD,Stade de Reims,"5'9""",83,82,328,337,376,75,52,2014
 A. Weber,DC,Stade de Reims,"6'3""",47,34,235,251,239,217,53,2014
 Z. Boucher,G,Toulouse Football Club,"5'11""",58,54,125,124,275,75,375,2014
 U. Spajić,DC,Toulouse Football Club,"6'2""",73,72,256,265,343,220,52,2014
 E. Ben Basat,BU,Toulouse Football Club,"6'0""",72,69,336,327,348,110,52,2014
 P. Baysse,DC,AS Saint-Étienne,"6'0""",66,65,279,290,327,218,54,2014
 M. Melikson,MOC,Valenciennes FC,"5'9""",78,76,325,352,376,102,54,2014
 G. Pujol,BU,Valenciennes FC,"6'0""",53,63,371,342,328,133,53,2014
 O. Sorlin,DC,Evian Thonon Gaillard Football Club,"6'0""",48,51,366,357,297,226,40,2014
 D. Wass,DG,Evian Thonon Gaillard Football Club,"5'11""",78,75,328,344,368,211,51,2014
 F. Bertoglio,MD,Evian Thonon Gaillard Football Club,"5'8""",85,78,323,317,394,76,47,2014
 D. Diakité,DD,Sporting Club de Bastia,"5'9""",76,77,271,267,376,224,66,2014
 F. Modesto,DC,Sporting Club de Bastia,"6'0""",52,50,260,273,311,220,55,2014
 G. Hoarau,BU,FC Girondins de Bordeaux,"6'4""",54,56,360,302,280,129,57,2014
 D. Rozehnal,DC,LOSC,"6'3""",51,55,252,246,263,223,54,2014
 Ryan Mendes,AG,LOSC,"5'9""",86,90,294,321,415,75,39,2014
 M. Dabo,DG,Olympique Lyonnais,"5'9""",76,77,263,282,373,220,55,2014
 S. Romero,G,AS Monaco,"6'4""",42,44,138,136,261,75,366,2014
 G. Bocaly,DD,Montpellier HSC,"5'11""",77,76,291,298,356,216,58,2014
 K. Aït-Fana,AG,Montpellier HSC,"5'9""",71,75,328,326,373,90,51,2014
 A. Bedoya,MOC,FC Nantes,"5'10""",77,76,323,313,372,145,42,2014
 T. Kolodziejczak,DLG,OGC Nice,"6'1""",78,75,250,292,356,214,48,2014
 J. Pied,MD,OGC Nice,"5'8""",78,79,344,359,380,161,46,2014
 V. Pajot,MDC,Stade Rennais FC,"5'9""",54,67,272,301,338,211,58,2014
 M. Coutadeur,MOC,FC Lorient,"5'7""",64,61,308,362,359,161,38,2014
 L. Koné,DC,FC Lorient,"6'1""",65,63,256,218,300,206,51,2014
 A. Traoré,MOC,FC Lorient,"5'9""",75,76,345,373,381,171,57,2014
 S. Diallo,MOC,FC Lorient,"6'0""",78,77,339,349,361,101,52,2014
 B. Dja Djédjé,DD,Olympique de Marseille,"5'11""",82,81,300,289,380,216,45,2014
 J. Morel,DG,Olympique de Marseille,"5'8""",75,74,333,332,363,213,48,2014
 G. Imbula,MDC,Olympique de Marseille,"6'1""",77,81,254,304,374,201,45,2014
 Y. Pelé,G,FC Sochaux-Montbéliard,"6'5""",47,51,133,137,263,75,359,2014
 S. Roudet,AG,FC Sochaux-Montbéliard,"5'9""",68,65,336,373,346,147,50,2014
 P. Oniangué,MC,Stade de Reims,"6'2""",66,64,319,307,321,210,47,2014
 O. Trejo,MD,Toulouse Football Club,"5'11""",76,86,364,381,394,126,57,2014
 M. Roman,MD,Toulouse Football Club,"5'9""",82,81,336,335,382,135,50,2014
 J. Brison,DG,AS Saint-Étienne,"5'10""",69,76,326,343,361,217,58,2014
 T. Doumbia,DC,Valenciennes FC,"6'4""",82,81,308,309,366,218,56,2014
 B. Laquait,G,Evian Thonon Gaillard Football Club,"6'1""",52,51,126,126,238,75,365,2014
 M. Planus,DC,FC Girondins de Bordeaux,"5'11""",34,33,250,286,251,216,58,2014
 D. Rolán,AD,FC Girondins de Bordeaux,"5'9""",76,78,332,348,367,83,44,2014
 C. Kerbrat,DC,En Avant de Guingamp,"6'1""",68,71,231,250,334,221,49,2014
 T. Giresse,MG,En Avant de Guingamp,"5'8""",66,71,312,367,363,99,51,2014
 R. Rodelin,MOC,LOSC,"6'4""",75,72,343,336,336,86,52,2014
 D. Origi,AG,LOSC,"6'1""",84,83,322,299,369,77,65,2014
 J. Ferri,MC,Olympique Lyonnais,"5'8""",75,75,244,306,375,187,54,2014
 R. Vercoutre,G,Olympique Lyonnais,"6'1""",38,36,123,136,203,75,362,2014
 N. Isimat-Mirin,DC,AS Monaco,"6'2""",65,64,225,227,312,210,55,2014
 M. Sanson,MOC,Montpellier HSC,"6'0""",71,74,293,330,355,211,51,2014
 A. El Kaoutari,DC,Montpellier HSC,"5'11""",74,68,240,218,318,216,42,2014
 D. Bakar,BU,Montpellier HSC,"5'7""",80,80,314,323,391,70,57,2014
 I. Cissokho,DD,FC Nantes,"5'8""",84,82,292,338,359,210,48,2014
 O. Veigneau,DG,FC Nantes,"5'9""",75,75,258,291,365,213,46,2014
 J. Veretout,MC,FC Nantes,"5'10""",63,66,316,332,344,185,42,2014
 I. Shechter,AD,FC Nantes,"5'11""",77,78,339,318,390,76,44,2014
 F. Abriel,MC,OGC Nice,"5'9""",65,63,316,341,341,200,35,2014
 M. Traoré,MDC,OGC Nice,"5'9""",77,78,318,324,386,175,47,2014
 C. Brüls,MD,OGC Nice,"5'10""",81,77,312,360,373,99,42,2014
 J. Boye,DC,Stade Rennais FC,"6'1""",75,67,247,237,328,204,37,2014
 F. Audard,G,FC Lorient,"6'2""",32,21,131,139,201,75,352,2014
 S. Diawara,DC,Olympique de Marseille,"6'2""",59,54,247,232,286,214,42,2014
 E. Mayuka,BU,FC Sochaux-Montbéliard,"5'10""",90,91,290,312,417,80,56,2014
 K. Traoré,MDC,FC Sochaux-Montbéliard,"6'4""",65,63,317,307,273,189,51,2014
 M. Tacalfred,DC,Stade de Reims,"5'9""",61,63,259,288,318,215,53,2014
 A. Devaux,MC,Stade de Reims,"6'1""",66,54,320,339,316,172,59,2014
 G. Charbonnier,BU,Stade de Reims,"6'2""",65,68,334,274,316,91,54,2014
 C. Hengbart,DC,AC Ajaccio,"6'0""",61,66,319,302,323,208,45,2014
 S. Diarra,AG,AC Ajaccio,"5'9""",88,86,320,320,400,115,43,2014
 J. Cavalli,MOC,AC Ajaccio,"5'7""",69,73,308,313,358,132,57,2014
 J. Mignot,DC,AS Saint-Étienne,"6'0""",54,49,270,258,286,216,52,2014
 R. Mater,DC,Valenciennes FC,"5'10""",66,65,267,295,336,222,67,2014
 A. Le Tallec,BU,Valenciennes FC,"6'0""",64,68,356,351,334,104,55,2014
 C. Mongongu,DC,Evian Thonon Gaillard Football Club,"6'2""",63,62,249,240,317,215,48,2014
 M. Sougou,AD,Evian Thonon Gaillard Football Club,"5'10""",90,85,308,337,400,87,43,2014
 K. Bérigaud,BU,Evian Thonon Gaillard Football Club,"5'10""",76,74,344,305,366,95,52,2014
 D. Koné,MDC,Evian Thonon Gaillard Football Club,"5'10""",63,65,242,263,341,222,43,2014
 J. Sablé,MDC,Sporting Club de Bastia,"5'11""",34,45,336,340,291,200,58,2014
 Ilan,BU,Sporting Club de Bastia,"5'11""",51,66,355,331,311,71,41,2014
 A. Traoré,MD,FC Girondins de Bordeaux,"5'11""",73,75,319,339,363,191,52,2014
 A. Biyogo Poko,MDC,FC Girondins de Bordeaux,"5'8""",76,77,273,296,375,204,62,2014
 J. Sorbon,DC,En Avant de Guingamp,"6'0""",51,47,239,217,294,217,50,2014
 G. Ndy Assembe,G,En Avant de Guingamp,"6'0""",48,42,132,123,222,75,347,2014
 L. Douniama,AD,En Avant de Guingamp,"5'5""",78,93,287,318,415,89,49,2014
 D. Sidibé,DLD,LOSC,"6'0""",77,76,272,286,352,209,49,2014
 N. Barazite,AD,AS Monaco,"6'1""",76,71,320,353,352,75,58,2014
 V. Montaño,BU,Montpellier HSC,"5'10""",77,78,346,306,362,112,41,2014
 N. Mendy,MDC,OGC Nice,"5'6""",73,74,268,303,370,207,57,2014
 S. Romero,BU,Stade Rennais FC,"5'10""",77,78,333,292,355,117,51,2014
 G. Sunu,MG,FC Lorient,"5'11""",77,74,312,307,355,77,44,2014
 M. Barthelmé,MG,FC Lorient,"5'9""",79,77,297,322,387,203,59,2014
 B. Reynet,G,FC Lorient,"6'1""",45,41,132,131,221,75,348,2014
 J. Quercia,BU,FC Lorient,"5'6""",75,72,342,315,379,70,49,2014
 B. Mendy,DG,Olympique de Marseille,"6'1""",76,83,254,220,366,210,42,2014
 C. Kanté,DC,FC Sochaux-Montbéliard,"5'11""",51,53,251,257,290,209,44,2014
 P. Frau,BU,FC Sochaux-Montbéliard,"5'9""",67,66,345,317,345,91,41,2014
 M. Peybernès,DC,FC Sochaux-Montbéliard,"6'2""",63,65,256,211,302,215,43,2014
 P. Cros,G,FC Sochaux-Montbéliard,"6'1""",45,37,136,123,215,75,344,2014
 Diego,MG,Stade de Reims,"5'10""",78,75,325,366,374,75,47,2014
 J. Placide,G,Stade de Reims,"5'11""",56,53,133,135,250,75,345,2014
 M. Fofana,DC,Stade de Reims,"5'11""",48,66,238,206,303,211,63,2014
 L. Bonnart,DG,AC Ajaccio,"5'7""",62,64,290,287,335,217,48,2014
 D. Oliech,BU,AC Ajaccio,"5'11""",92,90,325,291,359,73,52,2014
 J. Akpa Akpro,MD,Toulouse Football Club,"5'11""",80,78,309,307,366,198,38,2014
 C. Medjani,DC,Valenciennes FC,"6'0""",58,51,231,254,282,209,56,2014
 D. Ducourtioux,DC,Valenciennes FC,"5'10""",72,78,339,305,359,222,39,2014
 P. Camara,MDC,Valenciennes FC,"6'3""",76,74,275,297,344,202,46,2014
 J. Faubert,MD,FC Girondins de Bordeaux,"5'11""",79,78,302,323,367,198,46,2014
 J. Bréchet,DC,FC Girondins de Bordeaux,"6'2""",30,31,275,295,210,208,49,2014
 Y. Sankharé,MDC,En Avant de Guingamp,"6'1""",74,67,320,318,333,192,49,2014
 J. Delaplace,MC,LOSC,"5'6""",76,84,267,327,390,186,40,2014
 R. Ghezzal,AG,Olympique Lyonnais,"6'0""",76,80,321,345,359,92,50,2014
 J. Deza,AG,Montpellier HSC,"5'8""",80,77,308,298,390,74,43,2014
 J. Audel,MOC,FC Nantes,"5'11""",69,71,324,326,347,83,45,2014
 F. Aristeguieta,BU,FC Nantes,"6'2""",66,53,333,285,302,110,43,2014
 A. Trebel,MG,FC Nantes,"5'8""",74,82,280,333,384,120,56,2014
 R. Genevois,DC,OGC Nice,"6'0""",68,65,276,232,317,201,49,2014
 A. Doucouré,MDC,Stade Rennais FC,"6'0""",69,71,278,266,322,188,63,2014
 L. Gassama,DD,FC Lorient,"5'11""",82,74,248,250,347,208,42,2014
 W. Lautoa,DC,FC Lorient,"6'0""",64,68,223,203,318,204,42,2014
 G. Bourillon,DC,FC Lorient,"6'2""",54,31,288,276,240,224,45,2014
 M. Baca,DD,FC Lorient,"5'7""",64,67,272,282,337,209,51,2014
 S. Sunzu,DC,FC Sochaux-Montbéliard,"6'2""",71,68,230,265,332,209,55,2014
 Carlão,DC,FC Sochaux-Montbéliard,"6'0""",69,66,251,268,344,199,60,2014
 F. Signorino,DLG,Stade de Reims,"5'9""",75,71,269,310,357,210,41,2014
 N. De Preville,BU,Stade de Reims,"6'0""",83,79,316,300,374,81,47,2014
 E. Atar,AG,Stade de Reims,"6'0""",76,73,333,336,372,112,46,2014
 P. Ninkov,DD,Toulouse Football Club,"5'11""",67,58,280,309,326,200,57,2014
